metrics,25%,50%,75%,count,max,mean,min,std
motorcycle_perc_urban,0.5061997317383495,0.7042253521126759,0.9888615107300784,5875.0,4.01267159450898,0.7924216548213004,0.0242483026188167,0.42027974900495046
on_foot_perc_all,5.33056420906888,7.91011235955056,12.098765432098801,7201.0,51.3241409498796,9.768107580916615,1.49513212795549,6.457068673297413
on_foot_perc_birmingham,6.257206558115125,7.9401611047180705,11.356752025728,135.0,40.9566940277385,9.744805440568795,2.14637579169599,6.571211573498083
on_foot_perc_blackpool,10.331832528536815,12.6409292791254,18.67752301052185,19.0,26.417752729834397,14.65063051319925,7.51136059877038,5.57323877216607
on_foot_perc_liverpool,6.273138021384586,9.465405334706656,12.61332623882185,72.0,47.1037388098999,11.634056792329515,2.38873522755846,8.569518934355221
on_foot_perc_london,5.0723097306570795,6.537693463884116,8.938685963622113,978.0,45.642633228840104,8.06773535464926,1.95809000343525,5.309790039874411
on_foot_perc_rural,3.782259018019993,5.047370627187685,7.5261641277019855,1326.0,31.1155913978495,6.438262891722372,1.49513212795549,4.214960262095342
on_foot_perc_urban,5.983878411576355,8.6425902864259,12.9256895126961,5875.0,51.3241409498796,10.519660612043696,1.90380761523046,6.635535881962023
other_perc_all,0.330231161813269,0.43778801843318,0.5799903334944421,7201.0,5.92206198220313,0.4988306331760248,0.0341763499658237,0.30871581849539326
other_perc_birmingham,0.304054366381631,0.399786780383795,0.6074009466449369,135.0,1.29801324503311,0.49391044807456075,0.0341763499658237,0.2828768160691203
other_perc_blackpool,0.5430045527099735,0.625533124822292,0.7507570666787171,19.0,0.9158154279675941,0.6404526255799982,0.351699882766706,0.14980566072302706
other_perc_liverpool,0.483486992262598,0.55838645954925,0.7294173087204233,72.0,1.06822880771881,0.6024805183873689,0.36246476037052006,0.16788977872823854
other_perc_london,0.37439163112493196,0.473943038567777,0.584795321637427,978.0,5.776430736316629,0.5175456515232082,0.0995272455834785,0.3054681375417115
other_perc_rural,0.3520159973802743,0.471976442249584,0.6143626579502237,1326.0,5.92206198220313,0.5243562158810743,0.0597907324364724,0.31371442302346264
other_perc_urban,0.3253091047934615,0.42972699696663297,0.5708960581997544,5875.0,5.776430736316629,0.4930694548497452,0.0341763499658237,0.3073102492198133
people_power_all,7.076739325171699,10.281425891181991,15.510434292160213,7201.0,53.8021978021979,12.449209717548648,2.019363762102356,7.635432706762147
people_power_birmingham,7.63257721833291,9.55196017423771,12.42982830334271,135.0,42.14548542315316,11.27271583615983,3.48346235045743,6.724917966894576
people_power_blackpool,13.33483518411719,16.07638888888887,21.21622206088645,19.0,29.270870024656517,17.79804094161919,10.34482758620689,5.6757057660218875
people_power_liverpool,7.937879608363899,11.898917852106432,14.436462324393341,72.0,48.051606108478104,13.524972807906959,3.268795574553683,8.644818349764414
people_power_london,6.9543087121212075,9.618593687037748,14.10711989682982,978.0,50.72100313479621,11.761631319734404,2.301614565441433,7.038278864239062
people_power_rural,4.999259889180461,6.615034662836425,9.400864438566783,1326.0,39.5833333333334,8.026118325397437,2.019363762102356,4.723366271047335
people_power_urban,8.031183723231056,11.34583432233564,16.551915111281346,5875.0,53.8021978021979,13.44751085558988,2.301614565441433,7.8112002311155555
public_transport_all,5.615874204417816,9.992758870383781,18.146183998155358,7201.0,74.62533360706222,15.38149353025969,0.744047619047619,14.953138205129875
public_transport_birmingham,18.870922241534295,22.41231822070145,25.315049277260727,135.0,34.02260821615661,22.202139339535638,7.2836030964109755,4.777959986844427
public_transport_blackpool,8.39590157775902,9.036613866528175,10.675916420459721,19.0,17.989130434782606,9.719694544692747,5.792079207920793,2.943369166386059
public_transport_liverpool,18.771349637088875,24.39516945034829,28.310208158182498,72.0,36.9873046875,24.167604941760516,9.093399068748287,6.603351278076521
public_transport_london,38.64422774457378,48.61756767952335,57.03734774505908,978.0,74.62533360706222,47.85929280548011,17.98790194205663,11.494877880289266
public_transport_rural,2.7982832178191037,4.114722428965457,6.741285507667503,1326.0,26.39684813753586,5.291152687934629,0.744047619047619,3.6215192717418443
public_transport_urban,7.188177048744001,11.756115370573202,21.466823461205337,5875.0,74.62533360706222,17.65890492718271,1.083372585963259,15.586577672178782
taxi_perc_all,0.18532246108228304,0.348712446351931,0.6430868167202571,7201.0,5.8715173842965696,0.5038060318777207,0.0,0.49827262729128513
taxi_perc_birmingham,0.473077129782172,0.6144107242599139,0.8290341859141999,135.0,1.9381443298969099,0.711589925837425,0.122579063495955,0.3795490280312063
taxi_perc_blackpool,0.7893638167127155,0.873035669743078,1.10978264436488,19.0,1.33663366336634,0.9317896651171004,0.614808874632451,0.223578672669686
taxi_perc_liverpool,1.016708339831134,1.3633821952247698,1.79430846280923,72.0,2.7264325323475,1.3903222309892471,0.297216968386922,0.5256396017770056
taxi_perc_london,0.22640533307085126,0.346017434422819,0.5477985042999746,978.0,5.8715173842965696,0.4725544278586553,0.0,0.4552467962678383
taxi_perc_rural,0.0883442103909971,0.14179370799845198,0.2201552594133538,1326.0,2.81973816717019,0.17998138802703958,0.0,0.17289912510690522
taxi_perc_urban,0.2427479098753825,0.42092603728202,0.7320069625970245,5875.0,5.8715173842965696,0.5768939429834234,0.0,0.5182314282811014
train_perc_all,1.024377593361,2.33222275107092,5.74177529484792,7201.0,46.0285132382892,4.705109023678096,0.0525210084033613,6.114003098940577
train_perc_birmingham,1.70712054430859,2.58010819808573,5.009826975724085,135.0,18.6277460126392,3.871545844762838,0.477859190825104,3.2681805286870715
train_perc_blackpool,0.6454067736870774,0.882887561672293,1.0216951898535085,19.0,1.2982576016399,0.8354228870249142,0.347500668270516,0.26321489302583495
train_perc_liverpool,1.9116928107587174,3.98811303936285,6.991497622576265,72.0,14.1699410609037,4.732878421897741,1.0657193605683801,3.1700086602326185
train_perc_london,5.540938727120127,9.098800023172835,18.860964104873773,978.0,46.0285132382892,12.861924510200632,1.82627019433388,9.418261122218727
train_perc_rural,0.6919362601025391,1.3769837187993401,3.0644262666111555,1326.0,23.9255014326648,2.6468338072178037,0.0580888759802498,3.259052479317825
train_perc_urban,1.15238832960272,2.66708503294634,6.2952596770145,5875.0,46.0285132382892,5.1696661193421605,0.0525210084033613,6.500105555875513
underground_metro_perc_all,0.0679809653297077,0.154978690430066,0.538760850044897,7201.0,55.726092089728496,3.36697186135025,0.0,8.826857995396669
