origin_msoacode,avg_time_from_origin_bus_UNWEIGHTED,"Bus, minibus or coach",cumulative_time_bus,avg_time_bus
E02000393,303.4572472,496,14196.50214,28.62198013
E02000394,306.6717533,563,15259.0008,27.10302096
E02000395,304.319239,334,9565.776579,28.64004964
E02000396,307.2914092,499,14828.36654,29.71616541
E02000397,315.6675546,469,14520.8154,30.96122686
E02000398,322.6159196,597,20022.56851,33.53864072
E02000400,316.3410835,337,10169.3668,30.1761626
E02000401,319.6385446,512,13942.4748,27.2313961
E02000402,323.0144751,534,15599.76208,29.2130376
E02000403,316.4109641,500,16452.06723,32.90413445
E02000404,319.8686533,530,15078.13828,28.44931751
E02000405,315.2819774,221,6350.699191,28.73619543
E02000406,319.2691578,477,13466.956,28.23261216
E02000407,317.8068381,592,18183.46378,30.71531045
E02000408,318.1987679,609,17033.6845,27.96992529
E02000409,319.1577615,523,15893.0645,30.38826864
E02000410,314.2186593,553,18217.20283,32.94250059
E02000411,317.5134185,570,17724.0038,31.09474351
E02000412,316.417183,524,17452.02649,33.30539407
E02000413,311.9814986,381,12863.34516,33.7620608
E02000414,315.2351564,597,20823.6601,34.88050267
E02000415,318.5550351,509,14793.54186,29.06393293
E02000416,318.3389582,436,12839.53913,29.44848424
E02000417,312.3119404,559,18307.72746,32.75085414
E02000418,315.8053917,270,7516.718148,27.83969684
E02000419,318.3749666,641,19580.78948,30.54725349
E02000420,314.0732426,532,14788.71446,27.79833546
E02000421,314.1736915,577,16659.24136,28.87216874
E02000422,312.7771011,661,23835.86807,36.06031478
E02000423,318.5201497,698,23258.34131,33.32140588
E02000424,315.9849398,450,14610.22476,32.46716613
E02000425,314.9129806,441,12640.677,28.66366667
E02000426,309.9398033,332,9356.575206,28.18245544
E02000427,307.1974183,633,15985.73175,25.25392061
E02000428,314.8748392,604,18378.39032,30.42779854
E02000429,312.5852827,378,10207.64014,27.004339
E02000430,314.5863142,483,12926.79208,26.76354468
E02000431,313.0315991,546,16834.8234,30.83300988
E02000432,313.1822933,360,9673.492785,26.87081329
E02000433,315.637781,182,6016.265137,33.05640185
E02000434,314.9148986,252,8179.008633,32.45638347
E02000435,314.8813688,217,5842.872828,26.92568123
E02000436,313.2940275,100,2768.602465,27.68602465
E02000437,312.0826724,360,9183.798926,25.51055257
E02000438,309.5949309,245,6214.437729,25.36505196
E02000439,313.6460651,433,13077.42244,30.20189941
E02000440,314.7128454,245,6915.189139,28.22526179
E02000441,307.4460928,190,5264.863247,27.70980657
E02000442,314.802453,411,11385.45487,27.70183667
E02000443,311.7129759,532,14823.43456,27.86359879
E02000444,315.4996067,347,9674.987781,27.88180917
E02000445,309.7995711,518,12285.77655,23.71771535
E02000447,309.0105607,183,5109.207391,27.91916607
E02000448,304.8458827,108,3099.94595,28.70320324
E02000449,312.2443564,415,10993.62391,26.49066004
E02000451,307.299604,143,3410.601947,23.85036326
E02000452,309.3771841,420,10425.99717,24.82380279
E02000453,306.5653235,248,6864.980492,27.68137295
E02000454,305.323321,114,3684.090251,32.31658115
E02000455,309.1808168,310,8887.653462,28.66984988
E02000456,307.5447509,247,6322.440401,25.5969247
E02000457,306.3120088,147,4259.428245,28.97570234
E02000459,307.5509974,431,11269.67745,26.1477435
E02000460,308.8820143,305,8471.771906,27.77630133
E02000461,309.2994216,178,4673.558084,26.25594429
E02000462,307.3894202,397,12517.64395,31.53058929
E02000463,303.7210428,381,11805.59726,30.98581959
E02000464,353.4856805,285,6403.109429,22.46705063
E02000465,352.5726866,411,9492.887961,23.097051
E02000466,350.1187456,376,8626.167771,22.94193556
E02000467,353.1694989,494,12142.82887,24.58062524
E02000468,350.5926292,366,10732.24602,29.32307656
E02000469,354.6795631,305,7514.870219,24.63891875
E02000470,355.8988355,171,3857.455,22.55821638
E02000471,349.129034,172,5212.236407,30.30370004
E02000472,350.3778157,384,9072.940327,23.62744877
E02000473,353.9359854,223,5272.798574,23.64483665
E02000474,350.3823532,323,8479.414103,26.25205605
E02000475,353.7238152,223,5083.319577,22.79515505
E02000476,351.3004878,373,9827.346176,26.34677259
E02000477,353.7148353,253,4462.472378,17.63823074
E02000478,356.9160536,86,2247.610134,26.13500156
E02000479,351.1442581,304,8190.986863,26.94403573
E02000480,351.1800328,477,9897.454217,20.74937991
E02000481,362.7968885,156,4252.478337,27.25947652
E02000482,359.434355,97,2467.398958,25.43710266
E02000483,356.1832412,259,6194.80972,23.91818425
E02000484,354.999633,263,4767.245172,18.1264075
E02000485,359.1253297,213,6134.208362,28.79910029
E02000486,354.2503969,250,5723.940132,22.89576053
E02000487,361.5329904,90,3305.191122,36.7243458
E02000488,352.9282254,265,5927.539134,22.3680722
