,MSOA,Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,bicycle_perc,on_foot_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,label
2892,E02002973,0.06558478871812091,0.0,0.0,-0.571520700047682,-2.672199029483964,-10.080471798195086,-1.2315863546535537,0.7081660409641479,0.2417255699436085,1.4290971303986049,-8.326844175563695,-1.7946562955605707,0.05151901811488485,-0.8642791626152022,-4.368328470211528,-5.839943924097309,0.1199848738439399,3
2893,E02002974,-0.3062809522102316,0.0,0.0,0.1270202905442257,-2.9664242990616807,8.865014729197242,-2.0950771720954933,0.08264675233162971,-0.7482977857526402,-1.3362039869507802,-8.396061189462051,-0.8784692362324573,0.07012812043505295,0.08386970434045443,-3.3539593381199517,-12.474503326908696,0.4755083503564699,0
2894,E02002975,-1.0,0.0,0.0,0.5903690865875446,-4.0824069149935545,-10.750570658336967,-1.8520898993574777,-0.6756599732844263,-0.8192893734052566,-1.1128555259210406,-8.07811477812038,-1.493267740580701,0.230959368712443,-0.3951099361893512,-3.626844871471021,3.0091938452926135,0.5522178312368753,3
2895,E02002976,-0.3062809522102316,0.0,0.0,-0.257291825702292,-3.3694913081906663,8.865014729197242,-1.8111831363924071,0.4296903554572878,-0.2027553697577541,0.057568308535428464,-8.351770169189416,-2.5386321107578502,0.5795616602306441,0.1239109606850096,-4.08643362851787,-12.474503326908696,0.34475113719898026,0
2896,E02002977,-0.5479839261235909,0.0,0.0,-0.7025813342677063,-1.430268566424722,8.865014729197242,-1.6939040257288285,0.2344025708034191,-0.4115780973394488,0.3713749532416725,-8.2382412864498,-2.5478058460148225,0.3156068208285634,-0.5652207260187446,-3.8108691855331998,-12.474503326908696,0.2991012250599133,0
2897,E02002978,-0.9238301851628921,0.0,0.0,-1.2359734678278382,-2.6419918196786623,-7.771573984214532,-2.1868182429347747,1.7403917631178516,-0.6086719241742017,0.3405114540652379,-8.611514887580219,-1.368810670368948,-0.19714032488308114,0.5821098809187244,-3.137382384276567,2.8246609295237137,0.1570124223266271,3
2898,E02002979,-1.366051825224842,0.0,0.0,-0.6484487959962297,-0.6130170172984288,-6.943665546458633,-1.7566706013605669,-0.03698659261620201,-0.7114743434814632,0.7758909657354294,-8.374139856073159,-2.4592972716789343,0.3640703262923584,0.20389964991236076,-3.687043892369148,-13.893906344415786,0.15879257260170468,3
2899,E02002980,-0.22194347501007786,0.0,0.0,0.2722801271906426,-0.1161016257514068,-4.825753638555528,-1.167691257071836,-0.17439260031797413,-0.17988159313451466,-1.1135019181805519,-8.650901265953733,-1.0761333959382977,0.17245552641319606,0.48284237349684,-3.8887010691231496,2.6645491593578603,0.37759134192710897,3
2900,E02002981,-0.4452911411449216,0.0,0.0,-0.2803728046760808,-1.861349151468396,8.865014729197242,-1.2616710281615824,0.23099058055115526,-1.1148097807565436,-1.5280392942762249,-8.681722504785936,-0.5083972637459874,-0.2502499162664675,-0.6027341322316643,-3.3185699576886,-12.474503326908696,0.4334896278011475,0
2901,E02002982,0.2966069431192224,0.0,0.0,-1.2785657001905784,-1.0667667302962074,8.865014729197242,-1.4103477546579553,1.4800602580044615,0.4785343632659994,0.6486352857807235,-8.172446329464352,-0.948820962115121,0.3876087195573628,0.22155357797489075,-3.5972313965983957,-12.474503326908696,0.08788196211482358,0
2902,E02002983,-0.3062809522102316,0.0,0.0,0.6637001914941183,-1.1499908998015993,-5.2790156520975104,-1.6164879041004745,-0.9173071579964774,-1.575253389088722,-2.6270731753313976,-8.548724470733294,-0.7558602120707559,-0.25290023639745585,-0.4631902085266145,-3.011344920873965,2.8821942629377,0.5582453427248506,3
2903,E02002984,-1.7418980842641438,0.0,0.0,0.9002321239326297,0.6589195833169817,-1.9802786049454195,-0.9660662706559192,-1.9531577074723816,-0.21495464782402107,-2.242475524260392,-8.555794420966523,-0.3560544244811073,0.5039821631295817,1.8594235496343816,-3.4189689950919657,2.94898837237441,0.4785613925067178,3
2904,E02002985,0.0,0.0,0.0,0.04525405290249401,0.4402755033547293,0.3651415103802399,0.7139655566561344,1.0502337847756626,0.4558788068317206,1.33451798908889,0.9611058977243964,-1.3095435047028468,1.289309653752092,0.14164140307131462,2.4789435288300026,1.1841038994043185,-0.1325640501026707,0
2905,E02002986,-1.2633590402461727,0.0,0.0,-0.3379802601162785,-0.6074445996680783,-7.5952855497276675,0.16851045478590934,1.0323509212031514,0.22368961436135898,1.2566664906009402,2.047562581843116,-0.014013660741665976,1.438432784000762,0.2090895639556156,2.811521461414788,-12.474503326908696,0.0015697452044563132,3
2906,E02002987,-0.06944488210561998,0.0,0.0,0.4024424722693096,1.6551646295834082,-4.473541092824164,0.5758062372578914,0.5605566324755686,0.40373969638776747,-0.09305663362402897,1.4896013389027594,-0.8025078146179931,1.2336997928812783,0.8218680885383516,2.8120208743017097,3.2180544275066443,0.020549462875790358,0
2907,E02002988,-0.14323281419453526,0.0,0.0,0.047243576319015115,2.3759559056782646,-4.966268600345459,0.52396676950784,0.21580249893866307,1.3421713059118865,2.9772990200898053,0.1236744619898682,0.7574746899827306,1.0304990853049647,-1.3699510389127163,2.613716408586817,3.1111578697758167,-0.5278065089858085,0
2908,E02002989,-0.10576228606164012,0.0,0.0,-0.08319007689043889,2.404105636654055,8.865014729197242,0.37206029663481344,0.9920561488505448,1.1795401286812404,3.2833661340484497,1.98182723590356,0.8666591916086914,1.4785419466631962,-0.9967884317627425,3.1417522470182337,-12.474503326908696,-0.6769888890063449,0
2909,E02002990,-0.660471144916719,0.0,0.0,-0.6083660668646943,2.910085280702781,-0.011261901864006036,1.1166971355761908,-0.3361391978477324,0.968535044907538,4.6096192795064335,0.4410822764560137,1.4805063888932308,0.7252449778927986,-2.1709502422755267,2.686463276021608,2.7622257848909477,-1.1946182747288152,0
2910,E02002991,1.153374128924687,0.0,0.0,-1.4726239811291864,4.032502298986842,2.9576661469365746,1.3782216041492787,0.4163676589291804,0.362824839236708,5.0746420899442235,0.8016744395670526,2.9001856476531453,0.8885442683277047,-1.2553132308021475,2.0207405154017666,2.428506549406096,-1.8041226650712925,0
2911,E02002992,0.3727767579563302,0.0,0.0,-0.2433623791585898,2.973200157439264,-0.4595307116871202,0.3177273437169413,0.7573365897854825,1.6484928747490577,3.686388349372772,1.3260338690529243,0.7807984946598535,1.3621726429981107,-0.3930007958076097,2.9834111773188665,2.9263995641224354,-0.9079220792786566,0
2912,E02002993,-0.10576228606164012,0.0,0.0,-1.3979216994032742,2.7524765482134685,1.4881693272937058,1.262382680853164,0.5082041225502251,1.2183123821307726,5.138117021119743,0.9715421582280106,2.5685834074926346,0.9638472357655208,-1.7305463442451232,2.8260309319064985,2.4555977753248674,-1.743215277337539,0
2913,E02002994,1.1014878614425228,0.0,0.0,0.5643340678984353,5.648141968736493,-0.5910951138769173,0.6327079658422577,0.10284660146053157,1.0626645650350215,-0.7479186057454298,1.2268863449007243,0.3302811630541687,0.9364011745687432,-0.6645692056397721,3.903687561232401,2.8645334102194817,-0.3196022843509828,0
2914,E02002995,0.1575967541845323,0.0,0.0,-1.4079157182434616,-3.738144592430152,-7.549699059854148,-0.6525120538548702,2.0311827609590454,1.1446651924068827,3.5189444668699346,1.5530025868712618,-2.7755823920911182,1.5016372236708886,-1.4360975900969082,2.955797022038225,3.2383542938445067,-0.5462403115808356,0
2915,E02002996,0.9305551178943798,0.0,0.0,-0.3433002632161928,4.474886754122772,6.8413489719803176,1.5018962504068285,0.6088570525715271,0.8032691497779695,4.481722011468764,0.9249514002374688,3.1817776942628586,0.9370901845847864,-1.2705645529007503,2.2580597826209137,2.0229749011566382,-1.658340420731253,0
2916,E02002997,-0.06944488210561998,0.0,0.0,-0.4155695223866669,-0.6358532886192358,-5.248922364624753,1.1722533706395626,1.252317434338579,1.0492712299148723,4.681313612172661,1.309138340796525,1.3259582839789972,1.2514775456849014,-0.9259830551626091,2.6396165133710103,-8.044967988933418,-1.1537286707600298,0
