,MSOA,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,motorcycle_perc,bicycle_perc,on_foot_perc,other_perc,car_perc,label
6718,E02006861,0.32787940719545466,0.40127814720708177,0.6817969631455978,0.8467073611830849,0.5040621350704437,0.6739114537114259,0.8499370410197824,0.5159051519498887,0.7013490861444018,2
6719,E02006862,0.3679576533508255,0.2478525586274059,0.44521039669987394,0.6288370098639859,0.6004052456316615,0.5035483999055175,0.3138524679616447,0.5167073773744169,0.9758551532959124,2
6720,E02006863,0.34949427667552274,0.2891430349210005,0.5098105470312535,0.5744855197940613,0.6804398112433432,0.4974192137346968,0.2946687320743924,0.4992278538859914,0.9813799906008132,2
6721,E02006864,0.4846988753731913,0.17913846230973912,0.2834351011857247,0.30463329211848456,0.727729293370582,0.7597037073335773,0.4551653225336243,0.37020015758808894,0.9520363717380016,0
6722,E02006865,0.4189763597317436,0.23395767212325566,0.1902148427383112,0.35477585990795457,0.7129126868662868,0.7730796288799588,0.38990594585326666,0.4678426381585042,0.961297662655302,2
6723,E02006866,0.3813552580028925,0.5280259404093479,0.35955042210053084,0.5666795849052692,0.7834106821425734,0.6994107877307029,0.3480379452060252,0.5226228996890627,0.9652671364227964,2
6724,E02006867,0.3994868611266024,0.18999411375481215,0.3341725343776678,0.5701833732944168,0.7983391745046716,0.7451394337859647,0.4793737050479665,0.4872339194450458,0.9438684162819232,2
6725,E02006868,0.3376857134812354,0.6948665549483599,0.5882264889213495,0.8502305478220928,0.42801191109710973,0.5505084948774479,0.7002866570195491,0.5007010983482272,0.8125188451206296,1
6726,E02006869,0.2916766546950661,0.6823970036391714,0.3119662618772621,0.8322632895786763,0.6035388161584857,0.2994018605053146,0.3483338628952367,0.5513183488646246,0.921583936063734,2
6727,E02006870,0.4817349851055188,0.1238617543016447,0.5084717983285226,0.4386914199558181,0.729433344513831,0.7265156528970799,0.7140569694441866,0.4990313350271258,0.8961959887719866,2
6728,E02006871,0.36865742865192935,0.18356892719707574,0.5070257882075127,0.6516005369364881,0.7157903398420841,0.7040579824247125,0.5695366218333763,0.5731075503876384,0.9233032623861486,2
6729,E02006872,0.6639936970802971,0.2820029001815939,0.5922741242680362,0.5030230306058747,0.5951927625868132,0.4574220146751587,0.5677180137501605,0.5290931913714069,0.9208649871382996,0
6730,E02006873,0.4793072525621769,0.3089225713279994,0.6167134172266284,0.6133284588034459,0.6642277849014974,0.5788414757926225,0.348683926851502,0.47064079773895207,0.9543423165876757,0
6731,E02006874,0.6391670169900752,0.2474664401323598,0.6058046002233013,0.4898774748470085,0.6610454530875751,0.4830185686434423,0.4883965052494677,0.4720224605653245,0.936490121647852,0
6732,E02006875,0.3152638670879825,0.32347525395569576,0.771783910953394,0.715696661583386,0.41002324530027145,0.4728825777643413,1.0,0.4946887815672782,0.5678430939275374,2
6733,E02006876,0.25962403751529745,0.26223509332806616,0.6750872424539026,0.800864019927647,0.5435766843298595,0.5253453823291859,0.8925438098874048,0.4587630144695457,0.7420932737075305,2
6734,E02006877,0.4653547691396317,0.35259313508258605,0.6161479638516386,0.6090627566662612,0.6013674013381245,0.671213720946219,0.3688750342640884,0.4363891472080432,0.946502420869696,2
6735,E02006878,0.41984380632111995,0.20345077560459485,0.6099550368920341,0.586677148005275,0.6838175173236257,0.6373123678920869,0.3240910483317807,0.282967081048874,0.960879222863854,2
6736,E02006879,0.4752038451404284,0.4147928257662597,0.6930651915641328,0.6894207174378676,0.6125705552165173,0.5410431010230117,0.8478799806367698,0.5838122096300838,0.7901692064846462,2
6737,E02006880,0.4824328566507944,0.4223529516722548,0.7452660239690776,0.6256363433096629,0.4568018683145783,0.5007452187361465,0.7727902836966406,0.5733631366628908,0.8420629709137599,2
6738,E02006881,0.3918031727408859,0.08235513855259674,0.3950107253489723,0.6739993406889127,0.669332219303333,0.4223934641676454,0.6072020687117095,0.4563463260396186,0.9358263611690532,2
